Rang	Ort	Kanton	Steuersatz
633	Vaux-sur-Morges	VD	13.30
634	Boniswil	AG	13.31
635	Eiken	AG	13.31
636	Gontenschwil	AG	13.31
637	Gränichen	AG	13.31
638	Kaisten	AG	13.31
639	Kallern	AG	13.31
640	Mülligen	AG	13.31
641	Othmarsingen	AG	13.31
642	Uezwil	AG	13.31
643	Schönengrund	AR	13.33
644	Bodio	TI	13.34
645	Genthod	GE	13.34
646	Däniken	SO	13.36
647	Lutzenberg	AR	13.36
648	Münchwilen (TG)	TG	13.36
649	Steckborn	TG	13.36
650	Adligenswil	LU	13.37
651	Auw	AG	13.37
652	Birr	AG	13.37
653	Emmen	LU	13.37
654	Fischbach-Göslikon	AG	13.37
655	Lengnau (AG)	AG	13.37
656	Mönthal	AG	13.37
657	Muri (AG)	AG	13.37
658	Nottwil	LU	13.37
659	Riniken	AG	13.37
660	Schinznach-Bad	AG	13.37
661	Veltheim (AG)	AG	13.37
662	Vordemwald	AG	13.37
663	Wiliberg	AG	13.37
664	Wohlen (AG)	AG	13.37
665	Egnach	TG	13.41
666	Güttingen	TG	13.41
667	Grub (AR)	AR	13.42
668	Herisau	AR	13.42
669	Mauensee	LU	13.42
670	Mettauertal	AG	13.42
671	Oberentfelden	AG	13.42
672	Unterentfelden	AG	13.42
673	Zeiningen	AG	13.42
674	Tamins	GR	13.43
675	Coinsins	VD	13.44
676	Deisswil bei Münchenbuchsee	BE	13.44
677	Affeltrangen	TG	13.45
678	Altnau	TG	13.45
679	Hauptwil-Gottshaus	TG	13.45
680	Hochdorf	LU	13.45
681	Schenkon	LU	13.45
682	Wagenhausen	TG	13.45
683	Astano	TI	13.47
684	Bedigliora	TI	13.47
685	Bosco/Gurin	TI	13.47
686	Brione (Verzasca)	TI	13.47
687	Campo (Vallemaggia)	TI	13.47
688	Cerentino	TI	13.47
689	Claro	TI	13.47
690	Corippo	TI	13.47
691	Faido	TI	13.47
692	Frasco	TI	13.47
693	Giornico	TI	13.47
694	Gnosca	TI	13.47
695	Gorduno	TI	13.47
696	Gresso	TI	13.47
697	Gudo	TI	13.47
698	Iragna	TI	13.47
699	Isorno	TI	13.47
700	Lavertezzo	TI	13.47
701	Mergoscia	TI	13.47
702	Miglieglia	TI	13.47
703	Moleno	TI	13.47
704	Mosogno	TI	13.47
705	Novaggio	TI	13.47
706	Onsernone	TI	13.47
707	Osogna	TI	13.47
708	Preonzo	TI	13.47
709	Sobrio	TI	13.47
710	Sonogno	TI	13.47
711	Vogorno	TI	13.47
712	Aristau	AG	13.48
713	Bettwil	AG	13.48
714	Leimbach (AG)	AG	13.48
715	Malters	LU	13.48
716	Neuenkirch	LU	13.48
717	Roggwil (TG)	TG	13.48
718	Thalheim (AG)	AG	13.48
719	Jenaz	GR	13.49
720	Surses	GR	13.49
721	Hohentannen	TG	13.50
722	Baldingen	AG	13.53
723	Döttingen	AG	13.53
724	Fahrwangen	AG	13.53
725	Freienwil	AG	13.53
726	Kirchleerau	AG	13.53
727	Schmiedrued	AG	13.53
728	Turgi	AG	13.53
729	Zetzwil	AG	13.53
730	Grafschaft	VS	13.54
731	Basadingen-Schlattingen	TG	13.55
732	Naters	VS	13.55
733	Obergoms	VS	13.55
734	Randa	VS	13.55
735	Staldenried	VS	13.55
736	Tobel-Tägerschen	TG	13.55
737	Trin	GR	13.55
738	Zermatt	VS	13.55
739	Abtwil	AG	13.59
740	Braunau	TG	13.59
741	Egliswil	AG	13.59
742	Herdern	TG	13.59
743	Laufenburg	AG	13.59
744	Lommis	TG	13.59
745	Märstetten	TG	13.59
746	Meierskappel	LU	13.59
747	Muntelier	FR	13.59
748	Pfaffnau	LU	13.59
749	Schwellbrunn	AR	13.59
750	Sommeri	TG	13.59
751	Tegerfelden	AG	13.59
752	Wäldi	TG	13.59
753	Wislikofen	AG	13.59
754	Breil/Brigels	GR	13.62
755	Fürstenau	GR	13.62
756	Grono	GR	13.62
757	Landquart	GR	13.62
758	Obersaxen-Mundaun	GR	13.62
759	Rothenbrunnen	GR	13.62
760	Samnaun	GR	13.62
761	Scuol	GR	13.62
762	Tschappina	GR	13.62
763	Vals	GR	13.62
764	Uesslingen-Buch	TG	13.64
765	Beinwil (Freiamt)	AG	13.65
766	Birrhard	AG	13.65
767	Endingen	AG	13.65
768	Kölliken	AG	13.65
769	Möhlin	AG	13.65
770	Neuenhof	AG	13.65
771	Oberrüti	AG	13.65
772	Oftringen	AG	13.65
773	Reitnau	AG	13.65
774	Schüpfheim	LU	13.65
775	Staffelbach	AG	13.65
776	Unterkulm	AG	13.65
777	Grosswangen	LU	13.67
778	Stalden (VS)	VS	13.67
779	Davos	GR	13.68
780	Erlen	TG	13.68
781	Kradolf-Schönenberg	TG	13.68
782	Trogen	AR	13.68
783	Wald (AR)	AR	13.68
784	Hallwil	AG	13.70
785	Leutwil	AG	13.70
786	Menziken	AG	13.70
787	Reinach (AG)	AG	13.70
788	Schneisingen	AG	13.70
789	Alberswil	LU	13.72
790	Bottmingen	BL	13.72
791	Ettiswil	LU	13.72
792	Thayngen	SH	13.73
793	Ilanz/Glion	GR	13.74
794	Sion	VS	13.75
795	Aesch (LU)	LU	13.76
796	Bottenwil	AG	13.76
797	Brittnau	AG	13.76
798	Mont-Vully	FR	13.76
799	Moosleerau	AG	13.76
800	Murgenthal	AG	13.76
801	Rehetobel	AR	13.76
802	Romoos	LU	13.76
803	Strengelbach	AG	13.76
804	Tägerig	AG	13.76
805	Urnäsch	AR	13.76
806	Wauwil	LU	13.76
807	Wikon	LU	13.76
808	Zell (LU)	LU	13.76
809	Amriswil	TG	13.77
810	Collonge-Bellerive	GE	13.77
811	Eclépens	VD	13.78
812	Reute (AR)	AR	13.78
813	Albula/Alvra	GR	13.81
814	Arlesheim	BL	13.81
815	Fieschertal	VS	13.81
816	Leuggern	AG	13.81
817	Martigny	VS	13.81
818	Mathon	GR	13.81
819	Oeschgen	AG	13.81
820	Rüfenach	AG	13.81
821	Venthône	VS	13.81
822	Windisch	AG	13.81
823	Amlikon-Bissegg	TG	13.82
824	Visp	VS	13.82
825	Gletterens	FR	13.83
826	Rumendingen	BE	13.83
827	Villars-sur-Glâne	FR	13.83
828	Lens	VS	13.84
829	Port-Valais	VS	13.84
830	Bühler	AR	13.85
831	Cologny	GE	13.85
832	Vandoeuvres	GE	13.85
833	Ermensee	LU	13.86
834	Hitzkirch	LU	13.86
835	Burg (AG)	AG	13.87
836	Dietwil	AG	13.87
837	Elfingen	AG	13.87
838	Gansingen	AG	13.87
839	Hüttlingen	TG	13.87
840	Mühlau	AG	13.87
841	Niederlenz	AG	13.87
842	Oberkulm	AG	13.87
843	Roveredo (GR)	GR	13.87
844	Rümikon	AG	13.87
845	Teufenthal (AG)	AG	13.87
846	Matran	FR	13.88
847	Bischofszell	TG	13.91
848	Goldach	SG	13.91
849	Homburg	TG	13.91
850	Romanshorn	TG	13.91
851	Beringen	SH	13.92
852	Knutwil	LU	13.92
853	Murten	FR	13.92
854	Sempach	LU	13.92
855	Bad Zurzach	AG	13.93
856	Bünzen	AG	13.93
857	Fisibach	AG	13.93
858	Lumnezia	GR	13.93
859	Mellikon	AG	13.93
860	Nufenen	GR	13.93
861	Trun	GR	13.93
862	Wittnau	AG	13.93
